question,answer
先進船的人會先說什麼 ？,會說online。因為仙境傳說online
醫生問小明：如果把你一邊耳朵割掉你會怎麼樣？,我會聽不見。醫生又問：那再割掉另一個耳朵呢？小明：我會看不見。因為我有戴眼鏡
客人吃完東西服務生問：那我收囉？,客人：好。然後服務生就開始跳舞了（收囉 = solo）
有個人對著山洞大喊 : 嗚郎滴欸某??,山洞裡有聲音回答: 嗚 ～ 然後他就被火車撞死了
有一天有個帥哥走在路上，一個阿嬤突然上前搭訕說「帥哥，你超會搭耶」,然後帥哥就冒煙了（台語 : 超會搭 = 烤焦了）
哈利波特裡面誰最有主見？,佛地魔，因為他不會被牽著鼻子走
劉備 字玄德，張飛 字翼德，五佰字什麼？,心得
張飛對關羽說：「你快勒馬！」,關羽回頭說：「我很快樂！」然後掉下去了
把外勞關在家猜一個地名,索馬利亞
教官問學生：李鴻毅幾班？,學生說：逮金？（日本一級棒大金！）
神木是千年神木，那超過千年的是？,超齡老木
為何得癌症的人特別健談？,因為他們都有話聊（化療）
奴隸不能做什麼？,煎蛋（修煉愛情：我們這些奴隸不煎蛋）
平地貓咪會喵喵叫，那山上貓咪呢？,喵的拉
面試官：你像什麼動物？,小明：鸚鵡。面試官：為什麼？小明：為什麼？
一條褲子穿20年是什麼地名？,神奈川（神耐穿）
什麼人最容易被綁架？,模範生，因為他們都是好榜樣
麵包超人扭到腳變什麼？,牛角麵包（扭腳麵包）
為何千手觀音還沒到會議？,因為她還在洗手
為何吃鮭魚會肚子痛？,因為鮭魚在胃食道逆流
台灣獼猴敢打黑道老大？,因為他是台灣特有種
為什麼鎖匠比大學生有學問？,因為他是研究鎖的
老鷹叫什麼？,一隻 eagle，兩隻 兩gle，熱的熱gle，冷的冰gle，上網查的是google
誰最像啄木鳥？,董卓（懂啄）
天竺鼠車車的小孩是誰？,PUI孩（屁孩）
為何姓陳的人英文不能叫Jessica？,Jessica Chen台語像“J係咖稱”，Monica Chen像“摸你咖稱”
屈原投江最後說了什麼？,偶..偶溺江（お兄ちゃん）
